rank,city,state,techWorkforce,avgSalary,techAvgWage,costOfLiving,unemploymentRate,devLocIndex
01,Columbus,OH,4.24,"91,110",1.82,89.7,257,100
02,Des Moines,IA,4.08,"83,090",1.64,89.5,228,88
03,Dallas,TX,4.87,"92,930",1.76,93.9,311,85.76
04,Cedar Rapids,IA,4.28,"81,420",1.68,95,178,85.44
05,Colorado Springs,CO,5.09,"94,400",1.89,95.7,319,85.12
06,Sierra Vista,AZ,5.53,"86,770",1.77,93.7,313,84.16
07,Omaha,NE,4.16,"79,210",1.66,92.1,209,83.84
08,San Antonio,TX,2.87,"88,260",1.91,88.1,353,82.08
09,Raleigh,NC,5.41,"90,920",1.77,96.4,306,81.6
10,Houston,TX,2.75,"94,200",1.75,86.7,359,81.28
11,Huntsville,AL,6.43,"96,180",1.79,95.3,360,80.64
12,Wichita Falls,TX,1.2,"79,130",1.94,81.7,236,79.52
13,St. Louis,MO,3.49,"84,270",1.71,90.6,322,79.04
14,Charlottesville,VA,3.69,"89,760",1.71,107.8,196,78.24
15,Richmond,VA,3.61,"87,620",1.76,96.1,274,77.76
16,Kansas City,MO,4.21,"79,800",1.61,91.5,259,77.12
17,Springfield,IL,3.02,"82,230",1.67,94.9,198,76.96
18,Fayetteville,AR,3.65,"73,710",1.61,89.4,197,76.8
19,Austin,TX,6.03,"90,420",1.74,97.5,322,76.48
20,Charlotte,NC,4.01,"90,170",1.8,96.2,332,76.48
21,Seattle,WA,7.77,"113,610",1.74,149,297,74.08
22,Davenport,IA,2.48,"79,740",1.73,96.3,164,73.76
23,Burlington,NC,1.43,"77,230",1.98,88.8,274,73.44
24,Salt Lake City,UT,3.98,"81,770",1.65,97.1,232,73.28
25,Temple,TX,1.94,"75,420",1.81,87,311,72.64
